state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0.5485600441397909,0.39778275270987684,0.3880790824580607,0.31356360308068537,0.5260402883519681,0.5275647074970783,0.5637739166068297,0.4466545834010062,0.43237027187392246,0.3832842631309731,0.40883573190607597,0.49167956564112575,0.5269134940568729,0.42153560422855096,0.5874632200233949,0.6952590759461365
Alaska,0.37665117302162904,0.2901273043612717,0.35343259548513495,0.3619038267586848,0.2723951820279447,0.31344223799610454,0.41247591963859553,0.26005347515849636,0.18756427068657117,0.310349954239541,0.31892896874807136,0.302657827059374,0.33537493175326966,0.44446021137780084,0.6510209186324221,0.45535258263839284
Arizona,0.3066182287293359,0.2637291049176569,0.3220155266908278,0.32445419534050524,0.36010232261357955,0.4352179859638996,0.4638295057920586,0.4096824182365766,0.37152047230027907,0.4299306917926905,0.40876641162612243,0.3527352065181623,0.36653761731551876,0.33399442611702146,0.3327783384041643,0.4336831396221368
Arkansas,0.33695022435999755,0.3135002712787864,0.4307044312835465,0.3637209580229394,0.3869064334680634,0.4287915482129687,0.41170253685121927,0.3333456106609292,0.3746095648034658,0.27041656716919804,0.3216217585043627,0.36409688305328375,0.3331281560861828,0.38170295792478764,0.43353499882578683,0.5242619962016638
California,0.43854292330046907,0.4693130100955223,0.45773126609150355,0.45593671895068794,0.4928400266166233,0.5047010592616513,0.47109800151612957,0.45676813835475055,0.4480890651542705,0.41923892678491465,0.4222952568516376,0.41204667963625957,0.3903746324034071,0.4091432449610517,0.41523385785804623,0.43977731271328346
Colorado,0.17629207597716293,0.19824872474758504,0.209214145572021,0.23306759768492674,0.1723956863287223,0.2064125030971975,0.21070200351412602,0.2441722585436035,0.24382446936085017,0.1777424255082412,0.24045799796023204,0.2196883426217913,0.266930588218793,0.22664480813917146,0.25846089076532525,0.261612469318297
Connecticut,0.2210665617968723,0.16219124772706037,0.2521860727635145,0.21383117890065015,0.2441159072777443,0.3446296991891101,0.2812122568818702,0.3420962716452225,0.2720311198113446,0.394624437475353,0.3865522712200765,0.3394007339063435,0.27006845158691656,0.2636570714838362,0.4292007516462261,0.25376229269102596
Delaware,0.13143759106948893,0.16631700375780506,0.1030281862600797,0.1819810224981677,0.28374211172814745,0.2858997608824418,0.2613912025704076,0.398483910087348,0.2794557900151512,0.3568139695174745,0.3341955241025601,0.4155250853542949,0.3013889315852638,0.449935490686016,0.591328020423098,0.512261656511695
Florida,0.2127668679086838,0.22893129048702546,0.24294406050951126,0.26426334551996367,0.24455430106270123,0.3359679430563247,0.34987121373135144,0.3334807730173793,0.30431156944883425,0.3203619930142784,0.31996060801800524,0.35616711723401623,0.35833451203723193,0.3818384960708208,0.41788373342302293,0.46980622591725707
Georgia,0.4052721338640921,0.41710211979638107,0.42897320092952473,0.38376323783459293,0.3420852021648948,0.38854698888395667,0.4674516136988564,0.38374381769097954,0.3617435000567935,0.36496079241832363,0.3581232602945227,0.4088487634394954,0.39206026213646916,0.41815173276166284,0.48515841489068734,0.5474096943502967
Hawaii,0.055804359925275715,0.0004581438851948579,0.0,0.06662601581431564,0.018391383964439147,0.015102354849624081,0.03590251895984917,0.06928814612367154,0.0442056116826836,0.06318495176867954,0.03491316495896767,0.043656042478663094,0.11297299611284374,0.07903203294783694,0.0025996567607298126,0.14864282000491422
